Fecha,Departamento,Municipio,Barrio,Clase de sitio,Arma empleada,Código DANE,CLASE,MARCA,LINEA,MODELO,COLOR
28/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),EL DORADO NORTE E-10,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,CHEVROLET,SPARK,2012,AZUL
28/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),LOMBARDIA II E-11,VIAS PUBLICAS,LLAVE MAESTRA,11001000,CAMIONETA,TOYOTA,LAND CRUISER FZJ 79,1995,BLANCO
28/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),URB. MODELIA SECTOR D E-9,CASAS DE HABITACION,LLAVE MAESTRA,11001000,AUTOMOVIL,NISSAN,MARCH,2016,GRIS
28/03/16,GUAJIRA,VILLANUEVA,TRAMO DE VIA,CARRETERA,ARMA DE FUEGO,44874000,AUTOMOVIL,HYUNDAI,ACCENT GL,2014,BLANCO
28/03/16,RISARALDA,PEREIRA (CT),LA VILLA,VIAS PUBLICAS,LLAVE MAESTRA,66001000,CAMIONETA,CHEVROLET,LUV D MAX,2010,BLANCO
28/03/16,VALLE,CALI (CT),URB. CIUDAD JARDIN E22,VIAS PUBLICAS,LLAVE MAESTRA,76001000,CAMIONETA,TOYOTA,LAND CRUISER,1993,PERLA
28/03/16,VALLE,CALI (CT),SANTA MONICA POPULAR E8,VIAS PUBLICAS,LLAVE MAESTRA,76001000,AUTOMOVIL,DAEWOO,CIELO BX,2001,GRIS
28/03/16,VALLE,CALI (CT),SAN FERNANDO NUEVO E19,VIAS PUBLICAS,LLAVE MAESTRA,76001000,AUTOMOVIL,MAZDA,323 HB,1991,BLANCO
28/03/16,VALLE,CALI (CT),EL GRAN LIMONAR E17,VIAS PUBLICAS,CONTUNDENTES,76001000,AUTOMOVIL,NISSAN,SENTRA 2.0,2012,NEGRO
29/03/16,ANTIOQUIA,BELLO,LA FLORIDA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,5088000,CAMPERO,CHEVROLET,TROOPER,1992,AZUL
29/03/16,ANTIOQUIA,ITAGUI,SAN GABRIEL,VIAS PUBLICAS,ARMA DE FUEGO,5360000,CAMION,CHEVROLET,NHR,2013,GRIS
29/03/16,ANTIOQUIA,MEDELLÍN (CT),CALAZANS C-12,VIAS PUBLICAS,LLAVE MAESTRA,5001000,AUTOMOVIL,NISSAN,SENTRA B13,2014,PLATA
29/03/16,ANTIOQUIA,MEDELLÍN (CT),ROSALES C-16,VIAS PUBLICAS,ARMA DE FUEGO,5001000,CAMIONETA,RENAULT,DUSTER DYNAMIQUE AUTOMATICA,2016,GRIS
29/03/16,CAUCA,POPAYÁN (CT),JAZMINEZ,VIAS PUBLICAS,LLAVE MAESTRA,19001000,AUTOMOVIL,CHEVROLET,SWIFT,2000,ROJO
29/03/16,CESAR,VALLEDUPAR (CT),LA POPA,VIAS PUBLICAS,ARMA DE FUEGO,20001000,TAXI,HYUNDAI,i 10 GL,2014,AMARILLO
29/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),LA ESTANZUELA E-14,VIAS PUBLICAS,LLAVE MAESTRA,11001000,CAMPERO,MITSUBISHI,MONTERO,1985,PLATEADO
29/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),QUIROGA VII ETAPA E-18,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,CHEVROLET,CHEVETTE,1991,ROJO
29/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),SOCIEGO SUR E-18,VIAS PUBLICAS,ARMA DE FUEGO,11001000,CAMIONETA,TOYOTA,HILUX 4X4 DC,2010,PLATEADO
29/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),SAN VICENTE FERRER E-6,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,CHEVROLET,SPARK,2016,NEGRO
29/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),VILLA CLAUDIA E-8,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,KIA,PICANTO LX,2015,PLATA
29/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),ALQUERÍA LA FRAGUA E-8,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,KIA,PICANTO LX,2015,PLATA
29/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),INGLES E-18,VIAS PUBLICAS,LLAVE MAESTRA,11001000,CAMIONETA,MAZDA,B 2600,1996,VERDE
29/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),GILMAR E-11,VIAS PUBLICAS,ARMA DE FUEGO,11001000,CAMIONETA,CHEVROLET,TRACKER,2014,NEGRO
29/03/16,META,VILLAVICENCIO (CT),VEREDA LAS MERCEDES,FINCAS Y SIMILARES,CONTUNDENTES,50001000,RETROEXCAVADORA,JHON DEERE,LINEA STANDARD,1990,AMARILLO
29/03/16,META,VILLAVICENCIO (CT),MORICHAL,VIAS PUBLICAS,CONTUNDENTES,50001000,CAMIONETA,TOYOTA,HILUX,2016,GRIS
29/03/16,NARIÑO,PASTO (CT),TAMASAGRA I,PARQUEADERO,CONTUNDENTES,52001000,AUTOMOVIL,DAIHATSU,F 20,1981,ROJO
29/03/16,NORTE DE SANTANDER,CÚCUTA (CT),BARRIO BOCONO,VIAS PUBLICAS,ARMA DE FUEGO,54001000,AUTOMOVIL,RENAULT,LOGAN 1.4 EXPRESSION,2008,GRIS
29/03/16,SANTANDER,BUCARAMANGA (CT),CENTRO,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,68001000,AUTOMOVIL,RENAULT,SANDERO GT LINE,2012,GRIS
29/03/16,VALLE,CALI (CT),BELALCAZAR E9,VIAS PUBLICAS,ARMA DE FUEGO,76001000,CAMIONETA,TOYOTA,FORTUNER,2014,BLANCO
29/03/16,VALLE,CALI (CT),MUNICIPAL E8,VIAS PUBLICAS,ARMA DE FUEGO,76001000,CAMIONETA,TOYOTA,FORTUNER,2015,BEIGE
29/03/16,VALLE,CALI (CT),CANEY E17,BAHIA,LLAVE MAESTRA,76001000,AUTOMOVIL,KIA,CERATO FORTE  KOUP  SX,2013,NEGRO
29/03/16,VALLE,CALI (CT),EL GRAN LIMONAR E17,VIAS PUBLICAS,LLAVE MAESTRA,76001000,CAMIONETA,MAZDA,SIN LINEA,1995,AZUL
30/03/16,ANTIOQUIA,COPACABANA,LA AZULITA,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,5212000,AUTOMOVIL,RENAULT,R 9 BRIO,1994,BEIGE
30/03/16,ANTIOQUIA,MEDELLÍN (CT),SANTA FE C-15,FRENTE A RESIDENCIAS - VIA PUBLICA,ARMA DE FUEGO,5001000,AUTOMOVIL,RENAULT,STEPWAY,2016,BLANCO
30/03/16,ANTIOQUIA,MEDELLÍN (CT),BUENOS AIRES  C-9,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,5001000,AUTOMOVIL,CHEVROLET,SPRINT,1996,PLATA NIQUEL
30/03/16,ANTIOQUIA,MEDELLÍN (CT),SAN PABLO C-15,VIAS PUBLICAS,ARMA DE FUEGO,5001000,AUTOMOVIL,RENAULT,SANDERO GT LINE,2015,GRIS
30/03/16,ATLÁNTICO,BARRANQUILLA (CT),JUAN MINA,VIAS PUBLICAS,ARMA DE FUEGO,8001000,CAMIONETA,CHEVROLET,LUV TFR,1995,VERDE
30/03/16,ATLÁNTICO,BARRANQUILLA (CT),BOYACA,SEMÁFORO,ARMA DE FUEGO,8001000,VOLQUETA,CHEVROLET,KODIAK 190,2009,BLANCO
30/03/16,CAUCA,CALOTO,VDA QUINTERO,CASAS DE HABITACION,ARMA BLANCA / CORTOPUNZANTE,19142000,CAMIONETA,CHEVROLET,BLAZER,1995,VERDE
30/03/16,CESAR,CURUMANÍ,SIMON BOLIVAR,CARRETERA,ARMA DE FUEGO,20228000,CAMION,DODGE,D 600 197,1977,VERDE
30/03/16,CESAR,MANAURE,EL CENTRO,VIAS PUBLICAS,LLAVE MAESTRA,20443000,AUTOMOVIL,MAZDA,626NAO,2002,AMARILLO Y NEGRO
30/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),MODELO E-12,FRENTE CONJUNTO - VIA PUBLICA,LLAVE MAESTRA,11001000,CAMPERO,MITSUBISHI,MONTERO V 11 VNA,2004,GRIS
30/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),SANTA CATALINA E-8,FRENTE A RESIDENCIAS - VIA PUBLICA,LLAVE MAESTRA,11001000,CAMPERO,CHEVROLET,SAMURAI,1992,AZUL
30/03/16,CUNDINAMARCA,BOGOTÁ D.C. (CT),MUZU E-16,VIAS PUBLICAS,LLAVE MAESTRA,11001000,AUTOMOVIL,CHEVROLET,SWIFT,2000,ROJO
